"","date","comuna","region","codigo_comuna","n"
"107",2020-03-16,"El Quisco","Valparaiso",5604,0
"108",2020-03-16,"El Tabo","Valparaiso",5605,0
"109",2020-03-16,"Empedrado","Maule",7104,0
"110",2020-03-16,"Ercilla","La Araucania",9204,0
"111",2020-03-16,"Estacion Central","Metropolitana",13106,0
"112",2020-03-16,"Florida","Biobio",8104,0
"113",2020-03-16,"Freire","La Araucania",9105,0
"114",2020-03-16,"Freirina","Atacama",3303,0
"115",2020-03-16,"Fresia","Los Lagos",10104,0
"116",2020-03-16,"Frutillar","Los Lagos",10105,0
"117",2020-03-16,"Futaleufu","Los Lagos",10402,0
"118",2020-03-16,"Futrono","Los Rios",14202,0
"119",2020-03-16,"Galvarino","La Araucania",9106,0
"120",2020-03-16,"General Lagos","Arica y Parinacota",15202,0
"121",2020-03-16,"Gorbea","La Araucania",9107,0
"122",2020-03-16,"Graneros","Del Libertador General Bernardo O’Higgins",6106,0
"123",2020-03-16,"Guaitecas","Aysen",11203,0
"124",2020-03-16,"Hijuelas","Valparaiso",5503,0
"125",2020-03-16,"Hualaihue","Los Lagos",10403,0
"126",2020-03-16,"Hualane","Maule",7302,0
"127",2020-03-16,"Hualpen","Biobio",8112,0
"128",2020-03-16,"Hualqui","Biobio",8105,0
"129",2020-03-16,"Huara","Tarapaca",1404,0
"130",2020-03-16,"Huasco","Atacama",3304,0
"131",2020-03-16,"Huechuraba","Metropolitana",13107,0
"132",2020-03-16,"Illapel","Coquimbo",4201,0
"133",2020-03-16,"Independencia","Metropolitana",13108,0
"134",2020-03-16,"Iquique","Tarapaca",1101,0
"135",2020-03-16,"Isla de Maipo","Metropolitana",13603,0
"136",2020-03-16,"Isla de Pascua","Valparaiso",5201,0
"137",2020-03-16,"Juan Fernandez","Valparaiso",5104,0
"138",2020-03-16,"La Cisterna","Metropolitana",13109,0
"139",2020-03-16,"La Cruz","Valparaiso",5504,0
"140",2020-03-16,"La Estrella","Del Libertador General Bernardo O’Higgins",6202,0
"141",2020-03-16,"La Florida","Metropolitana",13110,0
"142",2020-03-16,"La Granja","Metropolitana",13111,0
"143",2020-03-16,"La Higuera","Coquimbo",4104,0
"144",2020-03-16,"La Ligua","Valparaiso",5401,0
"145",2020-03-16,"La Pintana","Metropolitana",13112,0
