"","comuna","region","codigo_comuna","oportunidad_comuna","oportunidad_region","oportunidad_pais","semana","dia"
"88","Quilleco","Biobío",8309,NA,NA,NA,16,2020-04-15
"89","San Pedro de la Paz","Biobío",8108,NA,NA,NA,16,2020-04-15
"90","San Rosendo","Biobío",8310,NA,NA,NA,16,2020-04-15
"91","Santa Barbara","Biobío",8311,NA,NA,NA,16,2020-04-15
"92","Santa Juana","Biobío",8109,NA,NA,NA,16,2020-04-15
"93","Talcahuano","Biobío",8110,NA,NA,NA,16,2020-04-15
"94","Tirua","Biobío",8207,NA,NA,NA,16,2020-04-15
"95","Tome","Biobío",8111,NA,NA,NA,16,2020-04-15
"96","Tucapel","Biobío",8312,NA,NA,NA,16,2020-04-15
"97","Yumbel","Biobío",8313,NA,NA,NA,16,2020-04-15
"98","Andacollo","Coquimbo",4103,NA,NA,NA,16,2020-04-15
"99","Canela","Coquimbo",4202,NA,NA,NA,16,2020-04-15
"100","Combarbala","Coquimbo",4302,NA,NA,NA,16,2020-04-15
"101","Coquimbo","Coquimbo",4102,NA,NA,NA,16,2020-04-15
"102","Illapel","Coquimbo",4201,NA,NA,NA,16,2020-04-15
"103","La Higuera","Coquimbo",4104,NA,NA,NA,16,2020-04-15
"104","La Serena","Coquimbo",4101,NA,NA,NA,16,2020-04-15
"105","Los Vilos","Coquimbo",4203,NA,NA,NA,16,2020-04-15
"106","Monte Patria","Coquimbo",4303,NA,NA,NA,16,2020-04-15
"107","Ovalle","Coquimbo",4301,NA,NA,NA,16,2020-04-15
"108","Paiguano","Coquimbo",4105,NA,NA,NA,16,2020-04-15
"109","Punitaqui","Coquimbo",4304,NA,NA,NA,16,2020-04-15
"110","Rio Hurtado","Coquimbo",4305,NA,NA,NA,16,2020-04-15
"111","Salamanca","Coquimbo",4204,NA,NA,NA,16,2020-04-15
"112","Vicuna","Coquimbo",4106,NA,NA,NA,16,2020-04-15
"113","Ancud","Los Lagos",10202,NA,NA,NA,16,2020-04-15
"114","Calbuco","Los Lagos",10102,NA,NA,NA,16,2020-04-15
"115","Castro","Los Lagos",10201,NA,NA,NA,16,2020-04-15
"116","Chaiten","Los Lagos",10401,NA,NA,NA,16,2020-04-15
"117","Chonchi","Los Lagos",10203,NA,NA,NA,16,2020-04-15
"118","Cochamo","Los Lagos",10103,NA,NA,NA,16,2020-04-15
"119","Curaco de Velez","Los Lagos",10204,NA,NA,NA,16,2020-04-15
"120","Dalcahue","Los Lagos",10205,NA,NA,NA,16,2020-04-15
"121","Fresia","Los Lagos",10104,NA,NA,NA,16,2020-04-15
"122","Frutillar","Los Lagos",10105,NA,NA,NA,16,2020-04-15
"123","Futaleufu","Los Lagos",10402,NA,NA,NA,16,2020-04-15
"124","Hualaihue","Los Lagos",10403,NA,NA,NA,16,2020-04-15
"125","Llanquihue","Los Lagos",10107,NA,NA,NA,16,2020-04-15
"126","Los Muermos","Los Lagos",10106,NA,NA,NA,16,2020-04-15
"127","Maullin","Los Lagos",10108,NA,NA,NA,16,2020-04-15
"128","Osorno","Los Lagos",10301,NA,NA,NA,16,2020-04-15
"129","Palena","Los Lagos",10404,NA,NA,NA,16,2020-04-15
"130","Puerto Montt","Los Lagos",10101,NA,NA,NA,16,2020-04-15
"131","Puerto Octay","Los Lagos",10302,NA,NA,NA,16,2020-04-15
"132","Puerto Varas","Los Lagos",10109,NA,NA,NA,16,2020-04-15
"133","Puqueldon","Los Lagos",10206,NA,NA,NA,16,2020-04-15
"134","Purranque","Los Lagos",10303,NA,NA,NA,16,2020-04-15
"135","Puyehue","Los Lagos",10304,NA,NA,NA,16,2020-04-15
"136","Queilen","Los Lagos",10207,NA,NA,NA,16,2020-04-15
"137","Quellon","Los Lagos",10208,NA,NA,NA,16,2020-04-15
"138","Quemchi","Los Lagos",10209,NA,NA,NA,16,2020-04-15
"139","Quinchao","Los Lagos",10210,NA,NA,NA,16,2020-04-15
"140","Rio Negro","Los Lagos",10305,NA,NA,NA,16,2020-04-15
"141","San Juan de la Costa","Los Lagos",10306,NA,NA,NA,16,2020-04-15
"142","San Pablo","Los Lagos",10307,NA,NA,NA,16,2020-04-15
"143","Corral","Los Ríos",14102,NA,NA,NA,16,2020-04-15
"144","Futrono","Los Ríos",14202,NA,NA,NA,16,2020-04-15
"145","La Union","Los Ríos",14201,NA,NA,NA,16,2020-04-15
"146","Lago Ranco","Los Ríos",14203,NA,NA,NA,16,2020-04-15
"147","Lanco","Los Ríos",14103,NA,NA,NA,16,2020-04-15
"148","Los Lagos","Los Ríos",14104,NA,NA,NA,16,2020-04-15
"149","Mafil","Los Ríos",14105,NA,NA,NA,16,2020-04-15
"150","Mariquina","Los Ríos",14106,NA,NA,NA,16,2020-04-15
"151","Paillaco","Los Ríos",14107,NA,NA,NA,16,2020-04-15
"152","Panguipulli","Los Ríos",14108,NA,NA,NA,16,2020-04-15
"153","Rio Bueno","Los Ríos",14204,NA,NA,NA,16,2020-04-15
"154","Valdivia","Los Ríos",14101,NA,NA,NA,16,2020-04-15
"155","Antartica","Magallanes",12202,NA,NA,NA,16,2020-04-15
"156","Cabo de Hornos","Magallanes",12201,NA,NA,NA,16,2020-04-15
"157","Laguna Blanca","Magallanes",12102,NA,NA,NA,16,2020-04-15
"158","Natales","Magallanes",12401,NA,NA,NA,16,2020-04-15
"159","Porvenir","Magallanes",12301,NA,NA,NA,16,2020-04-15
"160","Primavera","Magallanes",12302,NA,NA,NA,16,2020-04-15
"161","Punta Arenas","Magallanes",12101,NA,NA,NA,16,2020-04-15
"162","Rio Verde","Magallanes",12103,NA,NA,NA,16,2020-04-15
"163","San Gregorio","Magallanes",12104,NA,NA,NA,16,2020-04-15
"164","Timaukel","Magallanes",12303,NA,NA,NA,16,2020-04-15
"165","Torres del Paine","Magallanes",12402,NA,NA,NA,16,2020-04-15
"166","Cauquenes","Maule",7201,NA,NA,NA,16,2020-04-15
"167","Chanco","Maule",7202,NA,NA,NA,16,2020-04-15
"168","Colbun","Maule",7402,NA,NA,NA,16,2020-04-15
"169","Constitucion","Maule",7102,NA,NA,NA,16,2020-04-15
"170","Curepto","Maule",7103,NA,NA,NA,16,2020-04-15
"171","Curico","Maule",7301,NA,NA,NA,16,2020-04-15
"172","Empedrado","Maule",7104,NA,NA,NA,16,2020-04-15
"173","Hualane","Maule",7302,NA,NA,NA,16,2020-04-15
"174","Licanten","Maule",7303,NA,NA,NA,16,2020-04-15
"175","Linares","Maule",7401,NA,NA,NA,16,2020-04-15
"176","Longavi","Maule",7403,NA,NA,NA,16,2020-04-15
"177","Maule","Maule",7105,NA,NA,NA,16,2020-04-15
"178","Molina","Maule",7304,NA,NA,NA,16,2020-04-15
"179","Parral","Maule",7404,NA,NA,NA,16,2020-04-15
"180","Pelarco","Maule",7106,NA,NA,NA,16,2020-04-15
"181","Pelluhue","Maule",7203,NA,NA,NA,16,2020-04-15
"182","Pencahue","Maule",7107,NA,NA,NA,16,2020-04-15
"183","Rauco","Maule",7305,NA,NA,NA,16,2020-04-15
"184","Retiro","Maule",7405,NA,NA,NA,16,2020-04-15
"185","Rio Claro","Maule",7108,NA,NA,NA,16,2020-04-15
"186","Romeral","Maule",7306,NA,NA,NA,16,2020-04-15
"187","Sagrada Familia","Maule",7307,NA,NA,NA,16,2020-04-15
"188","San Clemente","Maule",7109,NA,NA,NA,16,2020-04-15
"189","San Javier","Maule",7406,NA,NA,NA,16,2020-04-15
"190","San Rafael","Maule",7110,NA,NA,NA,16,2020-04-15
"191","Talca","Maule",7101,NA,NA,NA,16,2020-04-15
"192","Teno","Maule",7308,NA,NA,NA,16,2020-04-15
"193","Vichuquen","Maule",7309,NA,NA,NA,16,2020-04-15
"194","Villa Alegre","Maule",7407,NA,NA,NA,16,2020-04-15
"195","Yerbas Buenas","Maule",7408,NA,NA,NA,16,2020-04-15
"196","Alhue","Metropolitana",13502,NA,NA,NA,16,2020-04-15
"197","Buin","Metropolitana",13402,NA,NA,NA,16,2020-04-15
"198","Calera de Tango","Metropolitana",13403,NA,NA,NA,16,2020-04-15
"199","Cerrillos","Metropolitana",13102,NA,NA,NA,16,2020-04-15
"200","Cerro Navia","Metropolitana",13103,NA,NA,NA,16,2020-04-15
"201","Colina","Metropolitana",13301,NA,NA,NA,16,2020-04-15
"202","Conchali","Metropolitana",13104,NA,NA,NA,16,2020-04-15
"203","Curacavi","Metropolitana",13503,NA,NA,NA,16,2020-04-15
"204","El Bosque","Metropolitana",13105,NA,NA,NA,16,2020-04-15
"205","El Monte","Metropolitana",13602,NA,NA,NA,16,2020-04-15
"206","Estacion Central","Metropolitana",13106,NA,NA,NA,16,2020-04-15
"207","Huechuraba","Metropolitana",13107,NA,NA,NA,16,2020-04-15
"208","Independencia","Metropolitana",13108,NA,NA,NA,16,2020-04-15
"209","Isla de Maipo","Metropolitana",13603,NA,NA,NA,16,2020-04-15
"210","La Cisterna","Metropolitana",13109,NA,NA,NA,16,2020-04-15
"211","La Florida","Metropolitana",13110,NA,NA,NA,16,2020-04-15
"212","La Granja","Metropolitana",13111,NA,NA,NA,16,2020-04-15
"213","La Pintana","Metropolitana",13112,NA,NA,NA,16,2020-04-15
"214","La Reina","Metropolitana",13113,NA,NA,NA,16,2020-04-15
"215","Lampa","Metropolitana",13302,NA,NA,NA,16,2020-04-15
"216","Las Condes","Metropolitana",13114,NA,NA,NA,16,2020-04-15
"217","Lo Barnechea","Metropolitana",13115,NA,NA,NA,16,2020-04-15
"218","Lo Espejo","Metropolitana",13116,NA,NA,NA,16,2020-04-15
"219","Lo Prado","Metropolitana",13117,NA,NA,NA,16,2020-04-15
"220","Macul","Metropolitana",13118,NA,NA,NA,16,2020-04-15
"221","Maipu","Metropolitana",13119,NA,NA,NA,16,2020-04-15
"222","Maria Pinto","Metropolitana",13504,NA,NA,NA,16,2020-04-15
"223","Melipilla","Metropolitana",13501,NA,NA,NA,16,2020-04-15
"224","Nunoa","Metropolitana",13120,NA,NA,NA,16,2020-04-15
"225","Padre Hurtado","Metropolitana",13604,NA,NA,NA,16,2020-04-15
"226","Paine","Metropolitana",13404,NA,NA,NA,16,2020-04-15
"227","Pedro Aguirre Cerda","Metropolitana",13121,NA,NA,NA,16,2020-04-15
