"","comuna","region","codigo_comuna","oportunidad_comuna","oportunidad_region","oportunidad_pais","semana","dia"
"3252","Puerto Octay","Los Lagos",10302,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3253","Puerto Varas","Los Lagos",10109,0.6,0.556910569105691,0.417496496274987,27,2020-07-01
"3254","Puqueldon","Los Lagos",10206,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3255","Purranque","Los Lagos",10303,1,0.556910569105691,0.417496496274987,27,2020-07-01
"3256","Puyehue","Los Lagos",10304,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3257","Queilen","Los Lagos",10207,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3258","Quellon","Los Lagos",10208,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3259","Quemchi","Los Lagos",10209,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3260","Quinchao","Los Lagos",10210,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3261","Rio Negro","Los Lagos",10305,0.5,0.556910569105691,0.417496496274987,27,2020-07-01
"3262","San Juan de la Costa","Los Lagos",10306,NA,0.556910569105691,0.417496496274987,27,2020-07-01
"3263","San Pablo","Los Lagos",10307,1,0.556910569105691,0.417496496274987,27,2020-07-01
"3264","Desconocido Los Lagos","Los Lagos",0,0,0.556910569105691,0.417496496274987,27,2020-07-01
"3265","Corral","Los Ríos",14102,NA,0.52,0.417496496274987,27,2020-07-01
"3266","Futrono","Los Ríos",14202,NA,0.52,0.417496496274987,27,2020-07-01
"3267","La Union","Los Ríos",14201,0.333333333333333,0.52,0.417496496274987,27,2020-07-01
"3268","Lago Ranco","Los Ríos",14203,NA,0.52,0.417496496274987,27,2020-07-01
"3269","Lanco","Los Ríos",14103,NA,0.52,0.417496496274987,27,2020-07-01
"3270","Los Lagos","Los Ríos",14104,0,0.52,0.417496496274987,27,2020-07-01
"3271","Mafil","Los Ríos",14105,NA,0.52,0.417496496274987,27,2020-07-01
"3272","Mariquina","Los Ríos",14106,NA,0.52,0.417496496274987,27,2020-07-01
"3273","Paillaco","Los Ríos",14107,1,0.52,0.417496496274987,27,2020-07-01
"3274","Panguipulli","Los Ríos",14108,0,0.52,0.417496496274987,27,2020-07-01
"3275","Rio Bueno","Los Ríos",14204,0.5,0.52,0.417496496274987,27,2020-07-01
"3276","Valdivia","Los Ríos",14101,0.75,0.52,0.417496496274987,27,2020-07-01
"3277","Desconocido Los Rios","Los Ríos",0,0,0.52,0.417496496274987,27,2020-07-01
"3278","Antartica","Magallanes",12202,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3279","Cabo de Hornos","Magallanes",12201,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3280","Laguna Blanca","Magallanes",12102,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3281","Natales","Magallanes",12401,1,0.529411764705882,0.417496496274987,27,2020-07-01
"3282","Porvenir","Magallanes",12301,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3283","Primavera","Magallanes",12302,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3284","Punta Arenas","Magallanes",12101,0.56,0.529411764705882,0.417496496274987,27,2020-07-01
"3285","Rio Verde","Magallanes",12103,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3286","San Gregorio","Magallanes",12104,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3287","Timaukel","Magallanes",12303,NA,0.529411764705882,0.417496496274987,27,2020-07-01
"3288","Torres del Paine","Magallanes",12402,0,0.529411764705882,0.417496496274987,27,2020-07-01
"3289","Desconocido Magallanes","Magallanes",0,0,0.529411764705882,0.417496496274987,27,2020-07-01
"3290","Cauquenes","Maule",7201,1,0.537070524412297,0.417496496274987,27,2020-07-01
"3291","Chanco","Maule",7202,NA,0.537070524412297,0.417496496274987,27,2020-07-01
"3292","Colbun","Maule",7402,0.4,0.537070524412297,0.417496496274987,27,2020-07-01
"3293","Constitucion","Maule",7102,0.444444444444444,0.537070524412297,0.417496496274987,27,2020-07-01
"3294","Curepto","Maule",7103,0.25,0.537070524412297,0.417496496274987,27,2020-07-01
"3295","Curico","Maule",7301,0.550561797752809,0.537070524412297,0.417496496274987,27,2020-07-01
"3296","Empedrado","Maule",7104,NA,0.537070524412297,0.417496496274987,27,2020-07-01
"3297","Hualane","Maule",7302,1,0.537070524412297,0.417496496274987,27,2020-07-01
"3298","Licanten","Maule",7303,NA,0.537070524412297,0.417496496274987,27,2020-07-01
"3299","Linares","Maule",7401,0.659574468085106,0.537070524412297,0.417496496274987,27,2020-07-01
"3300","Longavi","Maule",7403,0.454545454545455,0.537070524412297,0.417496496274987,27,2020-07-01
"3301","Maule","Maule",7105,0.5,0.537070524412297,0.417496496274987,27,2020-07-01
"3302","Molina","Maule",7304,0.307692307692308,0.537070524412297,0.417496496274987,27,2020-07-01
"3303","Parral","Maule",7404,0.25,0.537070524412297,0.417496496274987,27,2020-07-01
"3304","Pelarco","Maule",7106,0.5,0.537070524412297,0.417496496274987,27,2020-07-01
"3305","Pelluhue","Maule",7203,0,0.537070524412297,0.417496496274987,27,2020-07-01
"3306","Pencahue","Maule",7107,1,0.537070524412297,0.417496496274987,27,2020-07-01
"3307","Rauco","Maule",7305,0.571428571428571,0.537070524412297,0.417496496274987,27,2020-07-01
"3308","Retiro","Maule",7405,0.5,0.537070524412297,0.417496496274987,27,2020-07-01
"3309","Rio Claro","Maule",7108,0.75,0.537070524412297,0.417496496274987,27,2020-07-01
"3310","Romeral","Maule",7306,0.888888888888889,0.537070524412297,0.417496496274987,27,2020-07-01
"3311","Sagrada Familia","Maule",7307,0.5,0.537070524412297,0.417496496274987,27,2020-07-01
"3312","San Clemente","Maule",7109,0.557377049180328,0.537070524412297,0.417496496274987,27,2020-07-01
"3313","San Javier","Maule",7406,0.59375,0.537070524412297,0.417496496274987,27,2020-07-01
"3314","San Rafael","Maule",7110,0.6,0.537070524412297,0.417496496274987,27,2020-07-01
"3315","Talca","Maule",7101,0.47787610619469,0.537070524412297,0.417496496274987,27,2020-07-01
"3316","Teno","Maule",7308,0.444444444444444,0.537070524412297,0.417496496274987,27,2020-07-01
"3317","Vichuquen","Maule",7309,0,0.537070524412297,0.417496496274987,27,2020-07-01
"3318","Villa Alegre","Maule",7407,0.375,0.537070524412297,0.417496496274987,27,2020-07-01
"3319","Yerbas Buenas","Maule",7408,0,0.537070524412297,0.417496496274987,27,2020-07-01
"3320","Desconocido Maule","Maule",0,0,0.537070524412297,0.417496496274987,27,2020-07-01
"3321","Alhue","Metropolitana",13502,0.545454545454545,0.371606702169113,0.417496496274987,27,2020-07-01
"3322","Buin","Metropolitana",13402,0.409090909090909,0.371606702169113,0.417496496274987,27,2020-07-01
"3323","Calera de Tango","Metropolitana",13403,0.347826086956522,0.371606702169113,0.417496496274987,27,2020-07-01
"3324","Cerrillos","Metropolitana",13102,0.294871794871795,0.371606702169113,0.417496496274987,27,2020-07-01
"3325","Cerro Navia","Metropolitana",13103,0.302752293577982,0.371606702169113,0.417496496274987,27,2020-07-01
"3326","Colina","Metropolitana",13301,0.470149253731343,0.371606702169113,0.417496496274987,27,2020-07-01
"3327","Conchali","Metropolitana",13104,0.402597402597403,0.371606702169113,0.417496496274987,27,2020-07-01
"3328","Curacavi","Metropolitana",13503,0.423076923076923,0.371606702169113,0.417496496274987,27,2020-07-01
"3329","El Bosque","Metropolitana",13105,0.319148936170213,0.371606702169113,0.417496496274987,27,2020-07-01
"3330","El Monte","Metropolitana",13602,0.364864864864865,0.371606702169113,0.417496496274987,27,2020-07-01
"3331","Estacion Central","Metropolitana",13106,0.370967741935484,0.371606702169113,0.417496496274987,27,2020-07-01
"3332","Huechuraba","Metropolitana",13107,0.33695652173913,0.371606702169113,0.417496496274987,27,2020-07-01
"3333","Independencia","Metropolitana",13108,0.36,0.371606702169113,0.417496496274987,27,2020-07-01
"3334","Isla de Maipo","Metropolitana",13603,0.313725490196078,0.371606702169113,0.417496496274987,27,2020-07-01
"3335","La Cisterna","Metropolitana",13109,0.394736842105263,0.371606702169113,0.417496496274987,27,2020-07-01
"3336","La Florida","Metropolitana",13110,0.4,0.371606702169113,0.417496496274987,27,2020-07-01
"3337","La Granja","Metropolitana",13111,0.442307692307692,0.371606702169113,0.417496496274987,27,2020-07-01
"3338","La Pintana","Metropolitana",13112,0.270186335403727,0.371606702169113,0.417496496274987,27,2020-07-01
"3339","La Reina","Metropolitana",13113,0.450704225352113,0.371606702169113,0.417496496274987,27,2020-07-01
"3340","Lampa","Metropolitana",13302,0.387096774193548,0.371606702169113,0.417496496274987,27,2020-07-01
"3341","Las Condes","Metropolitana",13114,0.380208333333333,0.371606702169113,0.417496496274987,27,2020-07-01
"3342","Lo Barnechea","Metropolitana",13115,0.213592233009709,0.371606702169113,0.417496496274987,27,2020-07-01
"3343","Lo Espejo","Metropolitana",13116,0.365079365079365,0.371606702169113,0.417496496274987,27,2020-07-01
"3344","Lo Prado","Metropolitana",13117,0.312056737588652,0.371606702169113,0.417496496274987,27,2020-07-01
"3345","Macul","Metropolitana",13118,0.354166666666667,0.371606702169113,0.417496496274987,27,2020-07-01
"3346","Maipu","Metropolitana",13119,0.34341252699784,0.371606702169113,0.417496496274987,27,2020-07-01
"3347","Maria Pinto","Metropolitana",13504,0.176470588235294,0.371606702169113,0.417496496274987,27,2020-07-01
"3348","Melipilla","Metropolitana",13501,0.367875647668394,0.371606702169113,0.417496496274987,27,2020-07-01
"3349","Nunoa","Metropolitana",13120,0.466165413533835,0.371606702169113,0.417496496274987,27,2020-07-01
"3350","Padre Hurtado","Metropolitana",13604,0.337662337662338,0.371606702169113,0.417496496274987,27,2020-07-01
"3351","Paine","Metropolitana",13404,0.375,0.371606702169113,0.417496496274987,27,2020-07-01
"3352","Pedro Aguirre Cerda","Metropolitana",13121,0.444444444444444,0.371606702169113,0.417496496274987,27,2020-07-01
"3353","Penaflor","Metropolitana",13605,0.3,0.371606702169113,0.417496496274987,27,2020-07-01
"3354","Penalolen","Metropolitana",13122,0.406779661016949,0.371606702169113,0.417496496274987,27,2020-07-01
"3355","Pirque","Metropolitana",13202,0.392857142857143,0.371606702169113,0.417496496274987,27,2020-07-01
"3356","Providencia","Metropolitana",13123,0.421052631578947,0.371606702169113,0.417496496274987,27,2020-07-01
"3357","Pudahuel","Metropolitana",13124,0.379032258064516,0.371606702169113,0.417496496274987,27,2020-07-01
"3358","Puente Alto","Metropolitana",13201,0.37192474674385,0.371606702169113,0.417496496274987,27,2020-07-01
"3359","Quilicura","Metropolitana",13125,0.356828193832599,0.371606702169113,0.417496496274987,27,2020-07-01
"3360","Quinta Normal","Metropolitana",13126,0.33974358974359,0.371606702169113,0.417496496274987,27,2020-07-01
"3361","Recoleta","Metropolitana",13127,0.416666666666667,0.371606702169113,0.417496496274987,27,2020-07-01
"3362","Renca","Metropolitana",13128,0.395280235988201,0.371606702169113,0.417496496274987,27,2020-07-01
"3363","San Bernardo","Metropolitana",13401,0.373860182370821,0.371606702169113,0.417496496274987,27,2020-07-01
"3364","San Joaquin","Metropolitana",13129,0.428571428571429,0.371606702169113,0.417496496274987,27,2020-07-01
"3365","San Jose de Maipo","Metropolitana",13203,0.473684210526316,0.371606702169113,0.417496496274987,27,2020-07-01
"3366","San Miguel","Metropolitana",13130,0.3671875,0.371606702169113,0.417496496274987,27,2020-07-01
"3367","San Pedro","Metropolitana",13505,0.454545454545455,0.371606702169113,0.417496496274987,27,2020-07-01
"3368","San Ramon","Metropolitana",13131,0.494736842105263,0.371606702169113,0.417496496274987,27,2020-07-01
"3369","Santiago","Metropolitana",13101,0.400560224089636,0.371606702169113,0.417496496274987,27,2020-07-01
"3370","Talagante","Metropolitana",13601,0.352272727272727,0.371606702169113,0.417496496274987,27,2020-07-01
"3371","Tiltil","Metropolitana",13303,0.421052631578947,0.371606702169113,0.417496496274987,27,2020-07-01
"3372","Vitacura","Metropolitana",13132,0.377358490566038,0.371606702169113,0.417496496274987,27,2020-07-01
"3373","Desconocido Metropolitana","Metropolitana",0,0.25,0.371606702169113,0.417496496274987,27,2020-07-01
"3374","Chepica","O’Higgins",6302,0.0909090909090909,0.454545454545455,0.417496496274987,27,2020-07-01
"3375","Chimbarongo","O’Higgins",6303,0.181818181818182,0.454545454545455,0.417496496274987,27,2020-07-01
"3376","Codegua","O’Higgins",6102,0.5,0.454545454545455,0.417496496274987,27,2020-07-01
"3377","Coinco","O’Higgins",6103,0.571428571428571,0.454545454545455,0.417496496274987,27,2020-07-01
"3378","Coltauco","O’Higgins",6104,0.5,0.454545454545455,0.417496496274987,27,2020-07-01
"3379","Donihue","O’Higgins",6105,0.461538461538462,0.454545454545455,0.417496496274987,27,2020-07-01
"3380","Graneros","O’Higgins",6106,0.695652173913043,0.454545454545455,0.417496496274987,27,2020-07-01
"3381","La Estrella","O’Higgins",6202,1,0.454545454545455,0.417496496274987,27,2020-07-01
"3382","Las Cabras","O’Higgins",6107,0.210526315789474,0.454545454545455,0.417496496274987,27,2020-07-01
"3383","Litueche","O’Higgins",6203,0,0.454545454545455,0.417496496274987,27,2020-07-01
"3384","Lolol","O’Higgins",6304,0,0.454545454545455,0.417496496274987,27,2020-07-01
"3385","Machali","O’Higgins",6108,0.509615384615385,0.454545454545455,0.417496496274987,27,2020-07-01
"3386","Malloa","O’Higgins",6109,0.333333333333333,0.454545454545455,0.417496496274987,27,2020-07-01
"3387","Marchihue","O’Higgins",6204,NA,0.454545454545455,0.417496496274987,27,2020-07-01
"3388","Mostazal","O’Higgins",6110,0.2,0.454545454545455,0.417496496274987,27,2020-07-01
"3389","Nancagua","O’Higgins",6305,0.4,0.454545454545455,0.417496496274987,27,2020-07-01
"3390","Navidad","O’Higgins",6205,NA,0.454545454545455,0.417496496274987,27,2020-07-01
"3391","Olivar","O’Higgins",6111,0.4375,0.454545454545455,0.417496496274987,27,2020-07-01
"3392","Palmilla","O’Higgins",6306,0.5,0.454545454545455,0.417496496274987,27,2020-07-01
"3393","Paredones","O’Higgins",6206,NA,0.454545454545455,0.417496496274987,27,2020-07-01
"3394","Peralillo","O’Higgins",6307,0.5,0.454545454545455,0.417496496274987,27,2020-07-01
"3395","Peumo","O’Higgins",6112,0.5,0.454545454545455,0.417496496274987,27,2020-07-01
"3396","Pichidegua","O’Higgins",6113,NA,0.454545454545455,0.417496496274987,27,2020-07-01
"3397","Pichilemu","O’Higgins",6201,0,0.454545454545455,0.417496496274987,27,2020-07-01
"3398","Placilla","O’Higgins",6308,0.333333333333333,0.454545454545455,0.417496496274987,27,2020-07-01
"3399","Pumanque","O’Higgins",6309,NA,0.454545454545455,0.417496496274987,27,2020-07-01
"3400","Quinta de Tilcoco","O’Higgins",6114,0.333333333333333,0.454545454545455,0.417496496274987,27,2020-07-01
"3401","Rancagua","O’Higgins",6101,0.474248927038627,0.454545454545455,0.417496496274987,27,2020-07-01
"3402","Rengo","O’Higgins",6115,0.566666666666667,0.454545454545455,0.417496496274987,27,2020-07-01
"3403","Requinoa","O’Higgins",6116,0.391304347826087,0.454545454545455,0.417496496274987,27,2020-07-01
"3404","San Fernando","O’Higgins",6301,0.407407407407407,0.454545454545455,0.417496496274987,27,2020-07-01
"3405","San Vicente","O’Higgins",6117,0.263157894736842,0.454545454545455,0.417496496274987,27,2020-07-01
"3406","Santa Cruz","O’Higgins",6310,0.181818181818182,0.454545454545455,0.417496496274987,27,2020-07-01
"3407","Desconocido O’Higgins","O’Higgins",0,0,0.454545454545455,0.417496496274987,27,2020-07-01
"3408","Alto Hospicio","Tarapacá",1107,0.363636363636364,0.468911917098446,0.417496496274987,27,2020-07-01
"3409","Camina","Tarapacá",1402,0.5,0.468911917098446,0.417496496274987,27,2020-07-01
"3410","Colchane","Tarapacá",1403,0.5,0.468911917098446,0.417496496274987,27,2020-07-01
"3411","Huara","Tarapacá",1404,0.428571428571429,0.468911917098446,0.417496496274987,27,2020-07-01
"3412","Iquique","Tarapacá",1101,0.485232067510549,0.468911917098446,0.417496496274987,27,2020-07-01
"3413","Pica","Tarapacá",1405,0.714285714285714,0.468911917098446,0.417496496274987,27,2020-07-01
"3414","Pozo Almonte","Tarapacá",1401,0.5,0.468911917098446,0.417496496274987,27,2020-07-01
"3415","Desconocido Tarapaca","Tarapacá",0,0,0.468911917098446,0.417496496274987,27,2020-07-01
"3416","Algarrobo","Valparaíso",5602,1,0.403660886319846,0.417496496274987,27,2020-07-01
"3417","Cabildo","Valparaíso",5402,0.5,0.403660886319846,0.417496496274987,27,2020-07-01
"3418","Calera","Valparaíso",5502,0.295454545454545,0.403660886319846,0.417496496274987,27,2020-07-01
"3419","Calle Larga","Valparaíso",5302,0.428571428571429,0.403660886319846,0.417496496274987,27,2020-07-01
"3420","Cartagena","Valparaíso",5603,0.444444444444444,0.403660886319846,0.417496496274987,27,2020-07-01
"3421","Casablanca","Valparaíso",5102,0.375,0.403660886319846,0.417496496274987,27,2020-07-01
"3422","Catemu","Valparaíso",5702,0.25,0.403660886319846,0.417496496274987,27,2020-07-01
"3423","Concon","Valparaíso",5103,0.348837209302326,0.403660886319846,0.417496496274987,27,2020-07-01
"3424","El Quisco","Valparaíso",5604,0.625,0.403660886319846,0.417496496274987,27,2020-07-01
"3425","El Tabo","Valparaíso",5605,0.454545454545455,0.403660886319846,0.417496496274987,27,2020-07-01
"3426","Hijuelas","Valparaíso",5503,0.571428571428571,0.403660886319846,0.417496496274987,27,2020-07-01
"3427","Isla de Pascua","Valparaíso",5201,NA,0.403660886319846,0.417496496274987,27,2020-07-01
"3428","Juan Fernandez","Valparaíso",5104,NA,0.403660886319846,0.417496496274987,27,2020-07-01
"3429","La Cruz","Valparaíso",5504,0.272727272727273,0.403660886319846,0.417496496274987,27,2020-07-01
"3430","La Ligua","Valparaíso",5401,0.117647058823529,0.403660886319846,0.417496496274987,27,2020-07-01
"3431","Limache","Valparaíso",5802,0.484848484848485,0.403660886319846,0.417496496274987,27,2020-07-01
"3432","Llaillay","Valparaíso",5703,0.545454545454545,0.403660886319846,0.417496496274987,27,2020-07-01
"3433","Los Andes","Valparaíso",5301,0.5,0.403660886319846,0.417496496274987,27,2020-07-01
"3434","Nogales","Valparaíso",5506,0.166666666666667,0.403660886319846,0.417496496274987,27,2020-07-01
"3435","Olmue","Valparaíso",5803,0.375,0.403660886319846,0.417496496274987,27,2020-07-01
"3436","Panquehue","Valparaíso",5704,NA,0.403660886319846,0.417496496274987,27,2020-07-01
"3437","Papudo","Valparaíso",5403,0.25,0.403660886319846,0.417496496274987,27,2020-07-01
"3438","Petorca","Valparaíso",5404,0,0.403660886319846,0.417496496274987,27,2020-07-01
"3439","Puchuncavi","Valparaíso",5105,0,0.403660886319846,0.417496496274987,27,2020-07-01
"3440","Putaendo","Valparaíso",5705,0.692307692307692,0.403660886319846,0.417496496274987,27,2020-07-01
"3441","Quillota","Valparaíso",5501,0.389473684210526,0.403660886319846,0.417496496274987,27,2020-07-01
"3442","Quilpue","Valparaíso",5801,0.270588235294118,0.403660886319846,0.417496496274987,27,2020-07-01
"3443","Quintero","Valparaíso",5107,0.0769230769230769,0.403660886319846,0.417496496274987,27,2020-07-01
"3444","Rinconada","Valparaíso",5303,1,0.403660886319846,0.417496496274987,27,2020-07-01
"3445","San Antonio","Valparaíso",5601,0.5,0.403660886319846,0.417496496274987,27,2020-07-01
"3446","San Esteban","Valparaíso",5304,0.5,0.403660886319846,0.417496496274987,27,2020-07-01
"3447","San Felipe","Valparaíso",5701,0.470588235294118,0.403660886319846,0.417496496274987,27,2020-07-01
"3448","Santa Maria","Valparaíso",5706,0.666666666666667,0.403660886319846,0.417496496274987,27,2020-07-01
"3449","Santo Domingo","Valparaíso",5606,0.454545454545455,0.403660886319846,0.417496496274987,27,2020-07-01
"3450","Valparaiso","Valparaíso",5101,0.487951807228916,0.403660886319846,0.417496496274987,27,2020-07-01
"3451","Villa Alemana","Valparaíso",5804,0.414893617021277,0.403660886319846,0.417496496274987,27,2020-07-01
"3452","Vina del Mar","Valparaíso",5109,0.381818181818182,0.403660886319846,0.417496496274987,27,2020-07-01
"3453","Zapallar","Valparaíso",5405,0.4,0.403660886319846,0.417496496274987,27,2020-07-01
"3454","Desconocido Valparaiso","Valparaíso",0,0,0.403660886319846,0.417496496274987,27,2020-07-01
"3455","Bulnes","Ñuble",16102,1,0.633540372670807,0.417496496274987,27,2020-07-01
"3456","Chillan","Ñuble",16101,0.586666666666667,0.633540372670807,0.417496496274987,27,2020-07-01
"3457","Chillan Viejo","Ñuble",16103,0.75,0.633540372670807,0.417496496274987,27,2020-07-01
"3458","Cobquecura","Ñuble",16202,NA,0.633540372670807,0.417496496274987,27,2020-07-01
"3459","Coelemu","Ñuble",16203,1,0.633540372670807,0.417496496274987,27,2020-07-01
"3460","Coihueco","Ñuble",16302,1,0.633540372670807,0.417496496274987,27,2020-07-01
"3461","El Carmen","Ñuble",16104,1,0.633540372670807,0.417496496274987,27,2020-07-01
"3462","Ninhue","Ñuble",16204,1,0.633540372670807,0.417496496274987,27,2020-07-01
"3463","Niquen","Ñuble",16303,0,0.633540372670807,0.417496496274987,27,2020-07-01
"3464","Pemuco","Ñuble",16105,1,0.633540372670807,0.417496496274987,27,2020-07-01
"3465","Pinto","Ñuble",16106,NA,0.633540372670807,0.417496496274987,27,2020-07-01
"3466","Portezuelo","Ñuble",16205,1,0.633540372670807,0.417496496274987,27,2020-07-01
"3467","Quillon","Ñuble",16107,0.4,0.633540372670807,0.417496496274987,27,2020-07-01
"3468","Quirihue","Ñuble",16201,NA,0.633540372670807,0.417496496274987,27,2020-07-01
"3469","Ranquil","Ñuble",16206,0,0.633540372670807,0.417496496274987,27,2020-07-01
"3470","San Carlos","Ñuble",16301,0.6,0.633540372670807,0.417496496274987,27,2020-07-01
"3471","San Fabian","Ñuble",16304,NA,0.633540372670807,0.417496496274987,27,2020-07-01
"3472","San Ignacio","Ñuble",16108,0.333333333333333,0.633540372670807,0.417496496274987,27,2020-07-01
"3473","San Nicolas","Ñuble",16305,0.8,0.633540372670807,0.417496496274987,27,2020-07-01
"3474","Treguaco","Ñuble",16207,NA,0.633540372670807,0.417496496274987,27,2020-07-01
"3475","Yungay","Ñuble",16109,0.333333333333333,0.633540372670807,0.417496496274987,27,2020-07-01
"3476","Desconocido Nuble","Ñuble",0,0,0.633540372670807,0.417496496274987,27,2020-07-01
"3477","Antofagasta","Antofagasta",2101,0.536585365853659,0.513618677042802,0.623554153522608,28,2020-07-08
"3478","Calama","Antofagasta",2201,0.466898954703833,0.513618677042802,0.623554153522608,28,2020-07-08
"3479","Maria Elena","Antofagasta",2302,0.0666666666666667,0.513618677042802,0.623554153522608,28,2020-07-08
"3480","Mejillones","Antofagasta",2102,0.75,0.513618677042802,0.623554153522608,28,2020-07-08
"3481","Ollague","Antofagasta",2202,NA,0.513618677042802,0.623554153522608,28,2020-07-08
"3482","San Pedro de Atacama","Antofagasta",2203,0.565217391304348,0.513618677042802,0.623554153522608,28,2020-07-08
"3483","Sierra Gorda","Antofagasta",2103,1,0.513618677042802,0.623554153522608,28,2020-07-08
"3484","Taltal","Antofagasta",2104,0.928571428571429,0.513618677042802,0.623554153522608,28,2020-07-08
"3485","Tocopilla","Antofagasta",2301,0.636363636363636,0.513618677042802,0.623554153522608,28,2020-07-08
"3486","Desconocido Antofagasta","Antofagasta",0,0,0.513618677042802,0.623554153522608,28,2020-07-08
"3487","Angol","Araucanía",9201,0.818181818181818,0.625,0.623554153522608,28,2020-07-08
"3488","Carahue","Araucanía",9102,1,0.625,0.623554153522608,28,2020-07-08
"3489","Cholchol","Araucanía",9121,0.6,0.625,0.623554153522608,28,2020-07-08
"3490","Collipulli","Araucanía",9202,0,0.625,0.623554153522608,28,2020-07-08
"3491","Cunco","Araucanía",9103,0.5,0.625,0.623554153522608,28,2020-07-08
"3492","Curacautin","Araucanía",9203,1,0.625,0.623554153522608,28,2020-07-08
"3493","Curarrehue","Araucanía",9104,NA,0.625,0.623554153522608,28,2020-07-08
"3494","Ercilla","Araucanía",9204,1,0.625,0.623554153522608,28,2020-07-08
"3495","Freire","Araucanía",9105,NA,0.625,0.623554153522608,28,2020-07-08
"3496","Galvarino","Araucanía",9106,NA,0.625,0.623554153522608,28,2020-07-08
"3497","Gorbea","Araucanía",9107,NA,0.625,0.623554153522608,28,2020-07-08
"3498","Lautaro","Araucanía",9108,NA,0.625,0.623554153522608,28,2020-07-08
"3499","Loncoche","Araucanía",9109,NA,0.625,0.623554153522608,28,2020-07-08
"3500","Lonquimay","Araucanía",9205,NA,0.625,0.623554153522608,28,2020-07-08
"3501","Los Sauces","Araucanía",9206,NA,0.625,0.623554153522608,28,2020-07-08
"3502","Lumaco","Araucanía",9207,1,0.625,0.623554153522608,28,2020-07-08
"3503","Melipeuco","Araucanía",9110,1,0.625,0.623554153522608,28,2020-07-08
"3504","Nueva Imperial","Araucanía",9111,0,0.625,0.623554153522608,28,2020-07-08
"3505","Padre Las Casas","Araucanía",9112,NA,0.625,0.623554153522608,28,2020-07-08
"3506","Perquenco","Araucanía",9113,1,0.625,0.623554153522608,28,2020-07-08
"3507","Pitrufquen","Araucanía",9114,0,0.625,0.623554153522608,28,2020-07-08
"3508","Pucon","Araucanía",9115,1,0.625,0.623554153522608,28,2020-07-08
"3509","Puren","Araucanía",9208,0.5,0.625,0.623554153522608,28,2020-07-08
"3510","Renaico","Araucanía",9209,0,0.625,0.623554153522608,28,2020-07-08
"3511","Saavedra","Araucanía",9116,1,0.625,0.623554153522608,28,2020-07-08
"3512","Temuco","Araucanía",9101,0.764705882352941,0.625,0.623554153522608,28,2020-07-08
"3513","Teodoro Schmidt","Araucanía",9117,0,0.625,0.623554153522608,28,2020-07-08
"3514","Tolten","Araucanía",9118,NA,0.625,0.623554153522608,28,2020-07-08
"3515","Traiguen","Araucanía",9210,NA,0.625,0.623554153522608,28,2020-07-08
"3516","Victoria","Araucanía",9211,1,0.625,0.623554153522608,28,2020-07-08
"3517","Vilcun","Araucanía",9119,0.8,0.625,0.623554153522608,28,2020-07-08
"3518","Villarrica","Araucanía",9120,0,0.625,0.623554153522608,28,2020-07-08
"3519","Desconocido Araucania","Araucanía",0,0,0.625,0.623554153522608,28,2020-07-08
"3520","Arica","Arica y Parinacota",15101,0.854700854700855,0.853061224489796,0.623554153522608,28,2020-07-08
"3521","Camarones","Arica y Parinacota",15102,0.875,0.853061224489796,0.623554153522608,28,2020-07-08
"3522","General Lagos","Arica y Parinacota",15202,NA,0.853061224489796,0.623554153522608,28,2020-07-08
"3523","Putre","Arica y Parinacota",15201,1,0.853061224489796,0.623554153522608,28,2020-07-08
"3524","Desconocido Arica y Parinacota","Arica y Parinacota",0,0,0.853061224489796,0.623554153522608,28,2020-07-08
"3525","Alto del Carmen","Atacama",3302,1,0.811764705882353,0.623554153522608,28,2020-07-08
"3526","Caldera","Atacama",3102,0.8,0.811764705882353,0.623554153522608,28,2020-07-08
"3527","Chanaral","Atacama",3201,1,0.811764705882353,0.623554153522608,28,2020-07-08
"3528","Copiapo","Atacama",3101,0.79,0.811764705882353,0.623554153522608,28,2020-07-08
"3529","Diego de Almagro","Atacama",3202,0.666666666666667,0.811764705882353,0.623554153522608,28,2020-07-08
"3530","Freirina","Atacama",3303,0.75,0.811764705882353,0.623554153522608,28,2020-07-08
"3531","Huasco","Atacama",3304,NA,0.811764705882353,0.623554153522608,28,2020-07-08
"3532","Tierra Amarilla","Atacama",3103,0.888888888888889,0.811764705882353,0.623554153522608,28,2020-07-08
"3533","Vallenar","Atacama",3301,0.857142857142857,0.811764705882353,0.623554153522608,28,2020-07-08
"3534","Desconocido Atacama","Atacama",0,0,0.811764705882353,0.623554153522608,28,2020-07-08
"3535","Aysén","Aysén",11201,0.875,0.8,0.623554153522608,28,2020-07-08
